Recoding ID,genre,subgenre,Song Title,singer,Gender,YouTube URL,duration_sec
AFM0035.wav,Kamrupi,,Koto Nidra Jawo Basa,Dhanada Pathak,F,https://youtu.be/KzyUFjRelRw?si=qJsXHImaa6h0wnZh,234
AFM0036.wav,Kamrupi,,Shyam Kanu,Akshay Barman,M,https://youtu.be/A3NCVzmFTcE?si=sgOXHPKOYpSr_zFL,159
AFM0037.wav,Kamrupi,,Xoke Xoke Dhananjay,Akshay Barman,M,https://youtu.be/A3NCVzmFTcE?si=sgOXHPKOYpSr_zFL,216
AFM0038.wav,Kamrupi,,Poritran Kora Probhu,Dhanmoni Saikia,F,https://youtu.be/DGs4yejaNt8?si=uSr__CIf37rsinvr,270
AFM0039.wav,Kamrupi,,Probhu Ram Ram,Suren Das,M,https://youtu.be/DGs4yejaNt8?si=uSr__CIf37rsinvr,307
AFM0040.wav,Kamrupi,,Bhole Baba,Ujjwal Roy,M,https://youtu.be/DGs4yejaNt8?si=uSr__CIf37rsinvr,345
AFM0041.wav,Kamrupi,,Xuna Probhu Ram Chandra,Suren Das,M,https://youtu.be/DGs4yejaNt8?si=uSr__CIf37rsinvr,217
AFM0042.wav,Kamrupi,,He Mur Mai He,Suren Das,M,https://youtu.be/DGs4yejaNt8?si=uSr__CIf37rsinvr,267
AFM0043.wav,Kamrupi,,Unknown,Sumi Deka,F,https://youtu.be/NTVJpe9oabA?si=V8GBXGaxga_yLlVL,328
AFM0044.wav,Kamrupi,,Unknown,Sumi Deka,F,https://youtu.be/NTVJpe9oabA?si=V8GBXGaxga_yLlVL,277
AFM0045.wav,Kamrupi,,Unknown,Sumi Deka,F,https://youtu.be/NTVJpe9oabA?si=V8GBXGaxga_yLlVL,267
AFM0046.wav,Kamrupi,,Unknown,Archana Baruah,F,https://youtu.be/AzjtoTaQBNw?si=jmbVo1sONXzmmNSX,371
AFM0047.wav,Kamrupi,,Unknown,Archana Baruah,F,https://youtu.be/AzjtoTaQBNw?si=jmbVo1sONXzmmNSX,405
AFM0048.wav,Kamrupi,,Unknown,Archana Baruah,F,https://youtu.be/AzjtoTaQBNw?si=jmbVo1sONXzmmNSX,329
